key	ko	ja	en
ui.event.result.appeared	{0} 이(가) 나타났다	{0}が現れた	
ui.hostselect.title.pick	HOST 를 선택하세요!	HOSTを選択してください！	
ui.hostselect.title.codex	HOST 도감	HOST図鑑	
ui.hostselect.header_desc	사망 시 유령으로 돌아가, 다른 HOST에 빙의할 수 있습니다.	死亡するとゴーストに戻り、別のHOSTに憑依できます。	
ui.hostselect.possess_start	빙의 시작	憑依開始	
ui.hostselect.back	돌아가기	戻る	
ui.hostselect.stats	능력치	ステータス	
ui.hostselect.upgrade.title	HOST 강화	HOST強化	
ui.hostselect.upgrade.sub	액티브 · 패시브 스킬 강화	アクティブ・パッシブスキル強化	
ui.hostselect.mastery.maxed	{0} 은(는) 이미 숙련도 최대다.	{0}の熟練度はすでに最大です。	
ui.common.ok	확인	OK	
ui.hostselect.mastery.short	파편이 모자란다.\n{0} — {1} / {2}  ({3}개 더)	欠片が足りません。\n{0} — {1} / {2}（あと{3}個）	
ui.hostselect.mastery.unseal	봉인 해제	封印解除	
ui.hostselect.mastery.step	숙련도 Lv {0} → {1}	熟練度 Lv {0} → {1}	
ui.hostselect.mastery.confirm	{0}  {1}\n파편 {2}개를 쓴다.	{0}  {1}\n欠片を{2}個使用します。	
ui.hostselect.mastery	숙련도	熟練度	
ui.hostselect.shard	영혼 파편	魂の欠片	
ui.hostselect.start_ghost	유령으로 시작	ゴーストで開始	
ui.hostselect.ghost.badge	유령	ゴースト	
ui.hostselect.ghost.trait	몸이 없다	体がない	
ui.hostselect.ghost.rule	몸이 없으면 HP가 계속 줄어든다\n몸 없이 주는 피해는 60%	体がないとHPが減り続ける\n体なしで与えるダメージは60%	
ui.hostselect.ghost.skill	몸 빼앗기	体を奪う	
ui.hostselect.ghost.skill_desc	{0:0.#}칸 안의 적을 빼앗아 그 몸으로 싸운다	{0:0.#}マス以内の敵を奪い、その体で戦う	
ui.hostselect.ghost.skill_desc_near	가까운 적을 빼앗아 그 몸으로 싸운다	近くの敵を奪い、その体で戦う	
ui.hostselect.ghost.level	고스트 레벨	ゴーストレベル	
ui.hostselect.ghost.level_by_gold	골드로 올린다	ゴールドで上げる	
ui.job.melee	근거리	近距離	
ui.job.mid	중거리	中距離	
ui.job.ranged	원거리	遠距離	
ui.job.melee.trait	치고 버틴다	殴って耐える	
ui.job.mid.trait	붙어서 쏟는다	張り付いて撃ち込む	
ui.job.ranged.trait	거리를 두고 쏜다	距離を取って撃つ	
ui.job.melee.rule	때릴 때마다 쉴드 (HP 3% · 최대 30%)\n타격 시 12% 확률로 0.8초 스턴	攻撃でシールド+3%（上限30%）\n命中時12%で0.8秒スタン	
ui.job.mid.rule	직업 규칙 없음 — 빠른 연사와 짧은 사거리가 곧 특성이다	職業ルールなし — 速い連射と短い射程がそのまま特性	
ui.job.ranged.rule	직업 규칙 없음 — 차별화는 각자의 액티브·패시브가 맡는다	職業ルールなし — 差はそれぞれのアクティブ・パッシブが担う	
ui.hostselect.tip	HOST마다 이동속도, 공격 방식, 스킬이 다릅니다.\n다양한 HOST를 경험해 보세요!	HOSTごとに移動速度、攻撃方法、スキルが異なります。\nいろいろなHOSTを試してみましょう！	
ui.hostselect.owned	보유 HOST  {0}/{1}	所持HOST  {0}/{1}	
ui.hostselect.gold_short	골드가 모자란다.\n{0}({1}급) — {2:N0} / {3:N0}\n\n유령으로 시작하면 골드가 들지 않는다.	ゴールドが足りません。\n{0}（{1}ランク） — {2:N0} / {3:N0}\n\nゴーストで開始すればゴールドはかかりません。	
ui.attack.melee_drain	근접 · 흡혈	近接・吸血	
ui.attack.melee	근접	近接	
ui.attack.single_slow	단발 · 둔화	単発・鈍足	
ui.attack.single	단발	単発	
ui.attack.rapid	연사	連射	
ui.attack.spread	확산 {0}발	拡散{0}発	
ui.attack.pierce	관통	貫通	
ui.attack.snipe	저격	狙撃	
ui.attack.pulse	주위 광역	周囲範囲	
ui.unlock.stage	CH{0} · {1}스테이지	CH{0}・ステージ{1}	
ui.unlock.boss	CH{0} 보스 격파	CH{0} ボス撃破	
ui.shrine.full_heal.title	몸을 아문다	体を癒す	
ui.shrine.full_heal.desc	호스트 체력을 가득 채운다	ホストの体力を全回復する	
ui.shrine.full_heal.result	호스트 체력을 가득 채웠다	ホストの体力を全回復した	
ui.shrine.soul_heal.title	영혼을 채운다	魂を満たす	
ui.shrine.soul_heal.desc	고스트 체력을 가득 채운다	ゴーストの体力を全回復する	
ui.shrine.soul_heal.result	고스트 체력을 가득 채웠다	ゴーストの体力を全回復した	
ui.shrine.max_hp.title	그릇을 넓힌다	器を広げる	
ui.shrine.max_hp.desc	뺏는 몸이 더 튼튼해진다	奪う体がより頑丈になる	
ui.shrine.max_hp.result	뺏는 몸이 더 튼튼해졌다	奪う体がより頑丈になった	
ui.shrine.atk.title	힘을 받는다	力を授かる	
ui.shrine.atk.desc	공격력이 오른다	攻撃力が上がる	
ui.shrine.atk.result	공격력이 올랐다	攻撃力が上がった	
ui.shrine.speed.title	손이 빨라진다	手が速くなる	
ui.shrine.speed.desc	공격이 빨라진다	攻撃が速くなる	
ui.shrine.speed.result	공격이 빨라졌다	攻撃が速くなった	
ui.shrine.range.title	멀리 닿는다	遠くまで届く	
ui.shrine.range.desc	사거리가 늘어난다	射程が伸びる	
ui.shrine.range.result	사거리가 늘어났다	射程が伸びた	
ui.opening.skip	건너뛰기	スキップ	
ui.ingame.ghost_sub	육체와 별개로 유지되는 영혼 체력	肉体とは別に保たれる魂の体力	
ui.ingame.emergency_host	긴급 빙의 — GHOST -{0}	緊急憑依 — GHOST -{0}	
ui.ingame.exit_opened	출구가 열렸다 — 통과해서 다음 스테이지로	出口が開いた — 通り抜けて次のステージへ	
ui.ingame.event.reward	보상 · {0}	報酬・{0}	
ui.ingame.event.decline	지나간다	立ち去る	
ui.shrine.title	회복의 제단	回復の祭壇	
ui.shrine.hint	하나만 가져갈 수 있다	ひとつだけ持っていける	
ui.shop.gold	보유 골드 {0:N0}	所持ゴールド {0:N0}	
ui.buff.sub	카드를 선택하세요	カードを選択してください	
ui.ingame.result.clear	스테이지 클리어!\n골드 +{0}   고스트 EXP +{1}	ステージクリア！\nゴールド+{0}   ゴーストEXP+{1}	
ui.ingame.result.dead	유령이 소멸했습니다.\n로비로 돌아갑니다.	ゴーストが消滅しました。\nロビーに戻ります。	
ui.ingame.result.to_lobby	로비로	ロビーへ	
ui.ingame.pause.message	스테이지를 포기하고 로비로 돌아갈까요?	ステージを諦めてロビーに戻りますか？	
ui.ingame.pause.give_up	포기	諦める	
ui.ingame.pause.continue	계속	続ける	
ui.dodge.back	뒤로	後ろへ	
ui.dodge.side	옆으로	横へ	
ui.dodge.gap	틈으로	隙間へ	
ui.dodge.perp	직각으로	直角へ	
ui.dodge.zone	안전지대로	安全地帯へ	
ui.dodge.close	붙어라	張り付け	
ui.dodge.swap	몸을 갈아타라	体を乗り換えろ	
ui.dodge.hold	쏘지 마라	撃つな	
ui.battle.head_exposed	머리 노출	頭部露出	
ui.consumable.bomb.name	폭탄	爆弾	
ui.consumable.bomb.desc	다음 방이 열리면 광역 한 방	次の部屋が開いたら範囲攻撃を一発	
ui.consumable.ally.name	동료	仲間	
ui.consumable.ally.desc	다음 방에서 몸 하나가 같이 싸운다	次の部屋で体がひとつ一緒に戦う	
ui.consumable.freeze.name	정지	停止	
ui.consumable.freeze.desc	다음 방에서 적이 {0:0}초 멈춘다	次の部屋で敵が{0:0}秒止まる	
ui.lobby.mode.survival.name	서바이벌 모드	サバイバルモード	
ui.lobby.mode.survival.desc	끝까지 살아남아라	最後まで生き残れ	
ui.lobby.mode.scenario.name	시나리오 모드	シナリオモード	
ui.lobby.mode.scenario.desc	영혼이 깃든 새로운 이야기	魂が宿る新たな物語	
ui.lobby.mode.defense.name	디펜스 모드	ディフェンスモード	
ui.lobby.mode.defense.desc	몰려오는 적을 막아라	押し寄せる敵を食い止めろ	
ui.lobby.game_mode	게임 모드	ゲームモード	
ui.lobby.continue	이어서 하기	続きから	
ui.lobby.play	플레이하기	プレイ	
ui.common.quit.message	게임을 종료하시겠습니까?	ゲームを終了しますか？	
ui.common.quit	종료	終了	
ui.common.cancel	취소	キャンセル	
ui.shop.leave	나간다	店を出る	
ui.shop.title	상점	ショップ	
ui.lobby.host_button.sub	호스트 육성	ホスト育成	Train Hosts
ui.lobby.shop_button.sub	상점	ショップ	Shop
ui.lobby.search.title	유령 수색	ゴースト捜索	Ghost Search
ui.lobby.search.desc	유령이 도시 곳곳을 떠돌며 골드를 찾아옵니다.	ゴーストが街を巡ってゴールドを集めてきます。	Your ghost roams the city and brings back gold.
ui.lobby.search.claim	보상 받기	報酬を受け取る	Claim
ui.lobby.chest.empty	빈 칸	空きスロット	Empty
ui.lobby.chest.ready	완료!	完了!	Ready!
ui.lobby.chest.open_now	즉시 열기	今すぐ開ける	Open Now
ui.lobby.chest.claim	보상 획득하기	報酬を受け取る	Claim Reward
ui.lobby.chest.need_gem	젬 {0}개가 필요합니다	ジェムが{0}個必要です	Needs {0} gems
ui.lobby.chest.full	상자 칸이 가득 찼습니다	宝箱スロットがいっぱいです	Chest slots are full
ui.lobby.chest.time_h	{0}시간 {1}분	{0}時間{1}分	{0}h {1}m
ui.lobby.chest.time_m	{0}분	{0}分	{0}m
ui.lobby.chest.time_s	{0}초	{0}秒	{0}s
chest.wood.name	나무 상자	木の宝箱	Wooden Chest
chest.silver.name	은 상자	銀の宝箱	Silver Chest
chest.gold.name	금 상자	金の宝箱	Golden Chest
chest.magic.name	마법 상자	魔法の宝箱	Magic Chest
